,mid,title,released,director,boxoffice,inf_adj_boxoffice,cr,wicar
658,tt3530564,Milk War,09-27-2010,Kevin O'Keefe,0,0,0,0
671,tt0365653,Dinocroc,04-20-2004,Kevin O'Neill,0,0,0,0
719,tt2392846,Paranormal Movie,04-09-2013,Kevin P. Farley,0,0,0,0
1830,tt0479914,Flourish,11-14-2006,Kevin Palys,0,0,0,0
2263,tt1778918,The Normals,11-16-2012,Kevin Patrick Connors,0,0,0,0
1178,tt5112578,Super Dark Times,09-29-2017,Kevin Phillips,"$33,109",35903.3996,0,0
553,tt11616194,III,09-08-2019,Kevin Phillips,0,0,33109,17592.6658
2913,tt1588878,The Late Bloomer,10-07-2016,Kevin Pollak,0,0,0,0
4028,tt7133686,Next Gen,09-07-2018,"Kevin R. Adams, Joe Ksander, Ricardo Curtis",0,0,0,0
1416,tt0089126,Fandango,01-25-1985,Kevin Reynolds,"$91,666",161295.4936,0,0
60,tt0102798,Robin Hood: Prince of Thieves,06-14-1991,Kevin Reynolds,"$165,493,908",270251551.8,91666,3.635494018
4377,tt0114898,Waterworld,07-28-1995,Kevin Reynolds,"$88,246,220",136658096.3,165585574,25369.81163
2691,tt0118531,One Eight Seven,07-30-1997,Kevin Reynolds,"$5,727,130",8627348.632,253831794,26185.98675
3164,tt0245844,The Count of Monte Cristo,01-25-2002,Kevin Reynolds,"$54,234,062",75976497.46,259558924,9864.07341
1585,tt0375154,Tristan + Isolde,01-13-2006,Kevin Reynolds,"$14,734,633",19398144.34,313792986,360749.9253
1618,tt3231054,Risen,02-19-2016,Kevin Reynolds,"$36,880,033",40770876.48,328527619,3320877.36
2177,tt0120703,How Stella Got Her Groove Back,08-14-1998,Kevin Rodney Sullivan,"$37,672,941",55955619.27,0,0
2847,tt0337579,Barbershop 2: Back in Business,02-06-2004,Kevin Rodney Sullivan,"$65,111,277",88466692.06,37672941,130169.8447
694,tt0372237,Guess Who,03-25-2005,Kevin Rodney Sullivan,"$68,915,888",92181891.79,102784218,294433.336
2120,tt8292804,Fearless Faith,12-01-2020,Kevin Rushing,0,0,0,0
1875,tt0113749,Mallrats,10-20-1995,Kevin Smith,"$2,122,561",3286997.965,0,0
3044,tt0118842,Chasing Amy,04-18-1997,Kevin Smith,"$12,021,272",18108844.14,2122561,629.7271176
966,tt0120655,Dogma,11-12-1999,Kevin Smith,"$30,652,890",44881961.54,14143833,7080.480211
2880,tt0261392,Jay and Silent Bob Strike Back,08-24-2001,Kevin Smith,"$30,085,147",42781079.03,44796723,35817.98395
3011,tt0300051,Jersey Girl,03-26-2004,Kevin Smith,"$25,268,157",34331844.92,74881870,99605.16761
3928,tt0424345,Clerks II,07-21-2006,Kevin Smith,"$24,148,068",31790931.52,100150027,163465.4271
357,tt1007028,Zack and Miri Make a Porno,10-31-2008,Kevin Smith,"$31,457,946",40086860.59,124298095,309602.9899
1218,tt1385867,Cop Out,02-26-2010,Kevin Smith,"$44,875,481",55291080.14,155756041,798770.0775
3221,tt0873886,Red State,09-30-2011,Kevin Smith,"$1,104,682",1337769.902,200631522,1584399.441
2034,tt3099498,Tusk,09-19-2014,Kevin Smith,"$1,826,705",2096509.329,201736204,240653.2107
895,tt3838992,Yoga Hosers,09-02-2016,Kevin Smith,0,0,203562909,392806.908
1434,tt6521876,Jay and Silent Bob Reboot,11-29-2019,Kevin Smith,"$4,589,490",4783166.478,203562909,192475.3849
475,tt5804314,Let There Be Light,11-03-2017,Kevin Sorbo,"$7,233,471",7843975.952,0,0
634,tt8531464,Miracle in East Texas,02-07-2020,Kevin Sorbo,0,0,7233471,5490783.167
4686,tt0115495,Albino Alligator,01-17-1997,Kevin Spacey,"$339,379",511240.5256,0,0
932,tt0363473,Beyond the Sea,12-29-2004,Kevin Spacey,"$6,318,709",8585229.918,339379,1189.301462
319,tt1758738,Out of the Shadows,01-24-2012,Kevin Sullivan,0,0,0,0
2961,tt1016075,Fame,09-25-2009,Kevin Tancharoen,"$22,455,510",28141245.13,0,0
1824,tt1922612,Glee: The 3D Concert Movie,08-12-2011,"Kevin Tancharoen, Jennifer Arnold","$11,862,398",14365363.98,0,0
308,tt0099235,The Cellar,11-04-1989,Kevin Tenney,0,0,0,0
2773,tt0302531,Endangered Species,11-16-2004,Kevin Tenney,0,0,0,0
1858,tt4557956,Crash Pad,09-26-2017,Kevin Tent,0,0,0,0
2489,tt0133046,Teaching Mrs. Tingle,08-20-1999,Kevin Williamson,"$8,951,935",13107423.23,0,0
1056,tt12838350,The Assistant,10-31-2020,"Kevon Burns, Alex Jante",0,0,0,0
3951,tt7301414,Kaboria,08-27-1990,Khairy Beshara,0,0,0,0
2474,tt10944276,Death of a Telemarketer,08-22-2020,Khaled Ridgeway,0,0,0,0
512,tt7581552,Unda,06-21-2019,Khalid Rahman,0,0,0,0
1003,tt0953363,Dalai Lama Renaissance,10-30-2008,Khashyar Darvich,0,0,0,0
2807,tt3325392,Dalai Lama Awakening,10-01-2014,Khashyar Darvich,0,0,0,0
1828,tt1179286,Philippine Bliss,01-25-2008,Khavn,0,0,0,0
1759,tt11771882,Orphea,01-14-2021,"Khavn, Alexander Kluge",0,0,0,0
1205,tt1805411,Son of God,04-30-2010,"Khavn, Michael Noer",0,0,0,0
180,tt4057632,Nous trois ou rien,11-04-2015,Kheiron,0,0,0,0
1481,tt6708116,Mauvaises herbes,11-21-2018,Kheiron,0,0,0,0
459,tt7651078,The Invisible Man,02-04-2018,"Khian Bartlett, Carol Damgen, Ryan Del Nero",0,0,0,0
2245,tt0477647,Footy Legends,08-03-2006,Khoa Do,0,0,0,0
1578,tt3154310,Walt Before Mickey,08-14-2015,Khoa Le,0,0,0,0
1843,tt1446026,14 Ngày Phép,04-24-2009,Khoa Trong Nguyen,0,0,0,0
1972,tt3576728,Bilal: A New Breed of Hero,02-02-2018,"Khurram H. Alavi, Ayman Jamal","$490,973",522051.5909,0,0
2055,tt1461253,Mohini,01-01-1995,Khushi Kumar Shah,0,0,0,0
3562,tt0102814,Sa Tam Chai yue Chow Si Lai,01-10-1991,"Ki Yee Chik, Johnnie To",0,0,0,0
2493,tt8562370,Imeool wihan haeng jingok,05-16-2018,Ki-bok Park,0,0,0,0
3347,tt0294949,Last Present,03-24-2001,Ki-hwan Oh,0,0,0,0
3055,tt3485192,Paesyeonwang,11-06-2014,Ki-hwan Oh,0,0,0,0
3704,tt3214286,A Lego Brickumentary,07-31-2015,"Kief Davidson, Daniel Junge","$101,531",114384.8246,0,0
691,tt0206427,Guai tan: Mo jing,09-16-1999,"Kiefer Liu, Wing Siu","$69,225",101359.245,0,0
4689,tt0120383,"Truth or Consequences, N.M.",05-02-1997,Kiefer Sutherland,"$109,261",164590.7704,0,0
3590,tt0158369,Woman Wanted,08-14-1999,Kiefer Sutherland,0,0,109261,64.35204585
4345,tt1684925,Wish You Were Here,06-07-2013,Kieran Darcy-Smith,"$46,347",54170.3736,0,0
1827,tt2436682,The Duel,06-24-2016,Kieran Darcy-Smith,0,0,46347,9104.414691
492,tt0437405,Paper Man,05-01-2014,"Kieran Mulroney, Michele Mulroney","$13,514",15510.0178,0,0
104,tt0447160,GB: 2525,03-19-2009,"Kieron Estrada, JoJo Henrickson",0,0,0,0
2059,tt1951218,Piggy,05-04-2012,Kieron Hawkes,0,0,0,0
3042,tt8374436,The Racer,09-18-2020,Kieron J. Walsh,0,0,0,0
2444,tt0112924,East Meets West,08-12-1995,Kihachi Okamoto,0,0,0,0
628,tt0339748,Sukedachi-ya Sukeroku,02-16-2002,Kihachi Okamoto,0,0,0,0
141,tt1298554,Eva,03-13-2015,Kike Maíllo,"$16,738",18857.0308,0,0
480,tt1229405,Junkyard Dog,04-02-2010,Kim Bass,0,0,0,0
1700,tt2916324,Seed 2,10-28-2014,"Kim Blanc, Marcel Walz",0,0,0,0
2575,tt0290086,Temptation,04-01-2003,Kim Caviness,0,0,0,0
2374,tt0193071,Corrupt Desires,07-03-1989,Kim Christy,0,0,0,0
3152,tt2325977,Strangerland,07-10-2015,Kim Farrant,"$17,472",19683.9552,0,0
3237,tt7058080,Angel of Mine,08-30-2019,Kim Farrant,0,0,17472,9645.138048
2614,tt0822393,Perfect Partner,10-03-2005,"Kim Gordon, Phil Morrison, Tony Oursler",0,0,0,0
1999,tt0110978,The Return of the Texas Chainsaw Massacre,01-01-1994,Kim Henkel,"$185,898",291804.0906,0,0
2220,tt1679620,Magkakapatid,07-10-2010,Kim Homer Garcia,0,0,0,0
1289,tt12852052,The Revolutionist: Eugene V. Debs,09-03-2019,Kim Jacobs,0,0,0,0
448,tt1601454,Jeonseol-ui gohyang,05-23-2007,Kim Ji-Hwan,0,0,0,0
3533,tt0341384,Hae anseon,11-22-2002,Kim Ki-duk,0,0,0,0
1036,tt3696126,Ildaeil,05-22-2014,Kim Ki-duk,0,0,0,0
2856,tt9225192,Seongnan hwangso,11-30-2018,Kim Min-Ho,"$101,417",107836.6961,0,0
1940,tt4412528,Two Lovers and a Bear,12-16-2016,Kim Nguyen,0,0,0,0
2434,tt4702752,Eye on Juliet,04-07-2018,Kim Nguyen,0,0,0,0
523,tt6866224,The Hummingbird Project,03-22-2019,Kim Nguyen,"$371,784",387473.2848,0,0
3210,tt5923806,Tommaso,09-08-2016,Kim Rossi Stuart,0,0,0,0
4327,tt0171804,Boys Don't Cry,03-31-2000,Kimberly Peirce,"$11,540,607",16654249.96,0,0
2887,tt0489281,Stop-Loss,03-28-2008,Kimberly Peirce,"$10,915,744",13909932.58,11540607,161361.3798
225,tt1939659,Carrie,10-18-2013,Kimberly Peirce,"$35,266,619",41219624.29,22456351,811182.0949
2013,tt4915672,7 Guardians of the Tomb,02-23-2018,Kimble Rendall,0,0,0,0
2190,tt8231668,Good on Paper,06-23-2021,Kimmy Gatewood,0,0,0,0
803,tt2409300,Killers,02-01-2014,"Kimo Stamboel, Timo Tjahjanto",0,0,0,0
2765,tt5147214,Headshot,03-03-2017,"Kimo Stamboel, Timo Tjahjanto",0,0,0,0
1894,tt0108073,Zheng ren,04-30-1993,Kin-Nam Cho,0,0,0,0
3534,tt0099425,Die xue jiang hu,05-25-1990,King-Chu Lee,0,0,0,0
824,tt4834762,Moje córki krowy,01-08-2016,Kinga Debska,0,0,0,0
1702,tt6751106,Plan B,02-02-2018,Kinga Debska,0,0,0,0
524,tt7419468,"Zabawa, zabawa",01-04-2019,Kinga Debska,0,0,0,0
2501,tt0322118,Dôtonborigawa,06-12-1982,Kinji Fukasaku,0,0,0,0
146,tt0086244,Satomi hakken-den,12-10-1983,Kinji Fukasaku,0,0,0,0
1703,tt0132347,Mystery Men,08-06-1999,Kinka Usher,"$29,762,011",43577536.51,0,0
1394,tt3706400,Wakazuma nozoki: Anaba no nioi,05-25-1998,Kinya Ogawa,0,0,0,0
1710,tt8661074,Liway,10-10-2018,Kip Oebanda,0,0,0,0
1252,tt1667416,Coffin,10-22-2011,"Kipp Tribble, Derik Wingo",0,0,0,0
1089,tt2402246,Kudumbasree Travels,01-21-2011,Kiran,0,0,0,0
1208,tt13872244,Ghani,07-30-2021,Kiran Korrapati,0,0,0,0
935,tt1582524,Kedi,02-12-2010,Kiran Kumar,0,0,0,0
520,tt6688098,Oru Visheshapetta Biriyani Kissa,08-25-2017,Kiran Narayanan,0,0,0,0
538,tt3362124,Love Me True,10-19-2015,Kirby Voss,"$20,100",22644.66,0,0
2082,tt0084755,Taboo II,05-03-1982,Kirdy Stevens,0,0,0,0
1244,tt1189006,Toonpur Ka Superrhero,12-24-2010,Kireet Khurana,0,0,0,0
2471,tt11940698,Offstage,03-08-2020,Kirk Cameron,0,0,0,0
1016,tt0482603,Space Chimps,07-18-2008,Kirk DeMicco,"$30,105,968",38364035.02,0,0
532,tt6338498,Vivo,08-06-2021,"Kirk DeMicco, Brandon Jeffords",0,0,0,0
1642,tt0481499,The Croods,03-22-2013,"Kirk DeMicco, Chris Sanders","$187,168,425",218762455.1,0,0
944,tt7549618,Bernie the Dolphin,12-07-2018,Kirk Harris,0,0,0,0
3027,tt0396752,Nanny McPhee,01-27-2006,Kirk Jones,"$47,144,110",62065220.82,0,0
1119,tt0780511,Everybody's Fine,12-04-2009,Kirk Jones,"$9,208,876",11540563.4,47144110,859062.5465
1465,tt1586265,What to Expect When You're Expecting,05-18-2012,Kirk Jones,"$41,152,203",48967006.35,56352986,500369.6325
697,tt3760922,My Big Fat Greek Wedding 2,03-25-2016,Kirk Jones,"$59,689,605",65986858.33,97505189,8313981.881
236,tt2027215,Six Gun Savior,07-05-2016,Kirk Murray,0,0,0,0
1070,tt2791026,City of Dead Men,11-15-2014,Kirk Sullivan,0,0,0,0
475,tt13292206,Bobbleheads: The Movie,12-08-2020,Kirk Wise,0,0,0,0
1537,tt0120609,The Big Hit,04-24-1998,Kirk Wong,"$27,007,143",40113709.5,0,0
2694,tt0108656,Jung on zo,06-24-1993,"Kirk Wong, Jackie Chan","$194,720",309760.576,0,0
83,tt0236157,Disco Pigs,10-12-2001,Kirsten Sheridan,0,0,0,0
3257,tt0426931,August Rush,11-21-2007,Kirsten Sheridan,"$31,664,162",41017755.45,0,0
4047,tt0466398,Ssukh,06-17-2005,Kirti Kumar,0,0,0,0
4515,tt0289686,Dancer,08-23-1991,Kishore Vyas,0,0,0,0
682,tt9684220,Bad Trip,03-26-2021,Kitao Sakurai,0,0,0,0
2830,tt14850494,Oh Hell No,06-17-2022,Kitao Sakurai,0,0,0,0
1174,tt0365719,Saving Private Tootsie,11-29-2002,Kittikorn Liasirikun,0,0,0,0
2601,tt9000224,The Assistant,01-31-2020,Kitty Green,"$1,100,313",1123529.604,0,0
1121,tt0489788,Nok-e borj,08-25-2005,Kiumars Poorahmad,0,0,0,0
2953,tt12832150,Tigh o Termeh,05-25-2020,Kiumars Poorahmad,0,0,0,0
659,tt0403990,Dopperugengâ,09-27-2003,Kiyoshi Kurosawa,0,0,0,0
1167,tt7931422,Yocho,11-11-2017,Kiyoshi Kurosawa,0,0,0,0
2244,tt0093194,Hip hip hurra!,09-04-1987,Kjell Grede,0,0,0,0
210,tt0099673,"God afton, Herr Wallenberg",10-05-1990,Kjell Grede,0,0,0,0
1331,tt0298351,Grabben i graven bredvid,08-02-2002,Kjell Sundvall,0,0,0,0
153,tt0095180,Friends,05-06-1988,Kjell-Åke Andersson,0,0,0,0
3050,tt0343221,Äideistä parhain,09-30-2005,Klaus Härö,0,0,0,0
2666,tt13061770,Ernst Wilhelm Arnoldi,11-05-2020,Klaus Hausmann,0,0,0,0
613,tt0132165,Flypaper,07-18-1999,Klaus Hoch,0,0,0,0
4055,tt0251364,Rave Macbeth,11-08-2001,Klaus Knoesel,0,0,0,0
1682,tt2263648,What About Love,02-11-2022,Klaus Menzel,0,0,0,0
788,tt1691917,Planes,08-09-2013,Klay Hall,"$90,288,712",105529446.6,0,0
1417,tt0093584,Murder Rap,05-01-1988,Kliff Keuhl,0,0,0,0
37,tt3230660,Cardboard Boxer,09-16-2016,Knate Lee,0,0,0,0
2556,tt5481184,Feng shen chuan qi,07-29-2016,Koan Hui,"$181,633",200795.2815,0,0
2243,tt0331846,Anubandham,03-31-1984,Kodanda Rami Reddy A.,0,0,0,0
1482,tt1625547,Kirayi Dada,11-12-1987,Kodanda Rami Reddy A.,0,0,0,0
2338,tt0320342,Rakthabishekam,12-09-1988,Kodanda Rami Reddy A.,0,0,0,0
796,tt1300343,Bhale Donga,05-07-1989,Kodanda Rami Reddy A.,0,0,0,0
4494,tt1504407,Iddaru Iddare,09-05-1990,Kodanda Rami Reddy A.,0,0,0,0
320,tt1579866,President Gari Pellam,10-30-1992,Kodanda Rami Reddy A.,0,0,0,0
3716,tt1579659,Pokiri Raja,01-12-1995,Kodanda Rami Reddy A.,0,0,0,0
1172,tt1579815,Muddula Mogudu,04-25-1997,Kodanda Rami Reddy A.,0,0,0,0
4644,tt1579867,Priyaraagalu,10-21-1997,Kodanda Rami Reddy A.,0,0,0,0
1153,tt0925131,Tappu Chesi Pappu Koodu,05-19-2002,Kodanda Rami Reddy A.,0,0,0,0
1471,tt0779747,Muvva Gopaludu,06-19-1987,Kodi Ramakrishna,0,0,0,0
1553,tt5084300,Bhanumati gari Mogudu,08-19-1987,Kodi Ramakrishna,0,0,0,0
1144,tt0779746,Murali Krishnudu,06-03-1988,Kodi Ramakrishna,0,0,0,0
704,tt1579684,Rao Gari Intlo Rowdy,01-12-1990,Kodi Ramakrishna,0,0,0,0
76,tt12188220,Muddula Menalludu,07-07-1990,Kodi Ramakrishna,0,0,0,0
901,tt12605582,Maa aavida collector 1996,04-04-1996,Kodi Ramakrishna,0,0,0,0
575,tt1579859,Pelli Pandheri,01-01-1998,Kodi Ramakrishna,0,0,0,0
244,tt8676918,Aavide Shyamala,12-24-1999,Kodi Ramakrishna,0,0,0,0
3077,tt2971560,Ram Raaj,01-01-2008,Kodi Ramakrishna,0,0,0,0
641,tt5990474,Columbus,08-04-2017,Kogonada,"$1,017,107",1102950.831,0,0
1686,tt8633464,After Yang,10-14-2021,Kogonada,0,0,1017107,1102950.831
3832,tt0117161,Nemuru otoko,02-03-1996,Kôhei Oguri,0,0,0,0
254,tt4073044,Foujita,11-14-2015,Kôhei Oguri,0,0,0,0
1035,tt4117320,Sesshi 100 do no binetsu,01-24-2015,Koichi Okamoto,0,0,0,0
3388,tt6131672,Fukumen-kei Noise,11-25-2017,Kôichirô Miki,0,0,0,0
3318,tt0387010,Abong: Small Home,09-21-2003,Koji Imaizumi,0,0,0,0
2898,tt3689908,Aru yasashiki satsujinsha no kiroku,09-06-2014,Kôji Shiraishi,0,0,0,0
426,tt6207118,Funôhan,02-01-2018,Kôji Shiraishi,0,0,0,0
727,tt1131594,Kêtai Deka the movie 2 - Ishikawa Goemon ichizoku no inbô - kettô! Gorugoda-no-mori,03-10-2007,Koji Tazawa,0,0,0,0
4041,tt0104204,Erotikkuna kankei,10-17-1992,Kôji Wakamatsu,0,0,0,0
1792,tt8669212,My Surprise Girl,04-05-2018,Kok Heng Jack Lee,0,0,0,0
860,tt4440114,Gyarakushî kaidou,10-24-2015,Kôki Mitani,0,0,0,0
685,tt13275948,Just Maduveli,04-03-2015,Kolar Seena,0,0,0,0
480,tt0473333,Bosque de sombras,02-16-2007,Koldo Serra,0,0,0,0
843,tt0213929,Nayakudu Vinayakudu,02-01-1980,Kolli Pratyagatma,0,0,0,0
1790,tt1381406,Freestyle,02-26-2010,Kolton Lee,0,0,0,0
1029,tt2298383,Kokuhaku: Nurse no Zangyo,09-20-2009,Komei,0,0,0,0
1524,tt2318440,Echo Jew Gong Lok,08-01-2014,Kompin Kemgumnird,0,0,0,0
891,tt0815890,Khan kluay,09-02-2008,"Kompin Kemgumnird, Tod Polson",0,0,0,0
1624,tt0374087,Ninney Ishta Paddaanu,06-13-2003,Konda,0,0,0,0
1946,tt1090782,Chaiya,08-30-2007,Kongkiat Khomsiri,0,0,0,0
3092,tt0169951,Ginga tetsudô Three-Nine: Eternal Fantasy,03-07-1998,Kônosuke Uda,0,0,0,0
997,tt0106640,Czlowiek z...,08-27-1993,Konrad Szolajski,0,0,0,0
2161,tt4181716,Light Thereafter,04-13-2018,Konstantin Bojanov,0,0,0,0
1875,tt6324614,Sobibor,03-29-2019,Konstantin Khabenskiy,0,0,0,0
393,tt5258842,Motylyok,06-22-2017,Konstantin Khudyakov,0,0,0,0
941,tt6147768,Suepeullit,11-09-2016,Kook-Hee Choi,0,0,0,0
1920,tt9614452,The Big Bull,04-08-2021,Kookie Gulati,0,0,0,0
1346,tt10427010,Wo hu qian long,06-28-2019,"Koon-Nam Lui, Frankie Tam",0,0,0,0
3108,tt4727512,Srimanthudu,08-07-2015,Koratala Siva,0,0,0,0
162,tt11161474,Pieces of a Woman,01-07-2021,Kornél Mundruczó,0,0,0,0
222,tt0089691,Iga ninpôchô,12-18-1982,Kôsei Saitô,0,0,0,0
640,tt1861450,The WC: The Film,10-01-2011,Kostas Metaxas,0,0,0,0
920,tt2215226,Teen Spirit,04-25-2012,Kote Kalandadze,0,0,0,0
985,tt0271343,Aalorungi Arangorungi,02-21-1986,Kottayam Chellappan,0,0,0,0
1160,tt0271378,Athinumappuram,05-08-1987,Kottayam Chellappan,0,0,0,0
520,tt7575784,Moon River (Mah Rood),07-04-2017,Kourosh Parsi,0,0,0,0
726,tt7827542,Hamlet 360,09-19-2017,"Kovács D. Dániel, Balázs Benõ Fehér, Kriszta Székely",0,0,0,0
829,tt0323869,Seinto Seiya: Jashin Erisu,07-18-1987,Kôzô Morishita,0,0,0,0
712,tt1675735,Aranyakanda,01-01-1987,Kranthi Kumar,0,0,0,0
2378,tt1630249,Neti Siddhartha,06-15-1990,Kranthi Kumar,0,0,0,0
2008,tt4442604,Donald Cried,03-12-2016,Kris Avedisian,"$61,406",67884.333,0,0
2312,tt0186975,Down to You,01-21-2000,Kris Isacsson,"$20,069,008",28961585.44,0,0
3483,tt2150478,Empire Builder,03-04-2014,Kris Rey,0,0,0,0
956,tt4145304,Unexpected,07-24-2015,Kris Rey,"$23,986",27022.6276,0,0
654,tt10887902,I Used to Go Here,08-07-2020,Kris Rey,0,0,23986,18915.83932
2660,tt5613834,A Gentleman,08-25-2017,"Krishna D.K., Raj Nidimoru","$410,055",444663.642,0,0
959,tt1579877,Sravanamasam,02-26-2005,Krishna Murali Posani,0,0,0,0
1240,tt10650688,Aalukku Paathi 50/50,12-27-2019,Krishna Sai,0,0,0,0
1929,tt1489155,Chandralekha,07-31-1998,Krishna Vamsi,0,0,0,0
1709,tt1579625,Mahathma,10-02-2009,Krishna Vamsi,0,0,0,0
1317,tt0359750,Ninne Pelladatha,10-04-1996,"Krishna Vamsi, Y.V.S. Chowdary(co-director)",0,0,0,0
2116,tt12827664,Chithrasalabhangalude Veedu,09-26-2008,Krishnakumar,0,0,0,0
3342,tt8773700,A. I. Tales,12-10-2019,"Kristen Hilkert, Nelson Lee, Amir Reichart",0,0,0,0
480,tt0331525,The Intended,07-18-2003,Kristian Levring,"$8,106",11184.6588,0,0
3643,tt2720680,The Salvation,02-27-2015,Kristian Levring,"$44,903",50587.7198,8106,1315.863923
2734,tt0330212,Detaljer,10-10-2003,Kristian Petri,0,0,0,0
1638,tt4131496,Keepers,01-04-2019,Kristoffer Nyholm,0,0,0,0
3080,tt0385969,Pursued,09-20-2006,Kristoffer Tabori,0,0,0,0
326,tt0355563,The Illustrated Family Doctor,03-03-2005,Kriv Stenders,0,0,0,0
1605,tt0803061,Red Dog,08-04-2011,Kriv Stenders,0,0,0,0
1133,tt2393845,Kill Me Three Times,04-10-2015,Kriv Stenders,"$24,296",27371.8736,0,0
2109,tt3567194,Red Dog: True Blue,12-26-2016,Kriv Stenders,0,0,24296,4600.390796
616,tt0329272,Infekcija,07-22-2003,Krsto Papic,0,0,0,0
1720,tt0108394,Trois couleurs: Bleu,09-08-1993,Krzysztof Kieslowski,"$1,324,974",2107768.639,0,0
3968,tt0111507,Trois couleurs: Blanc,06-10-1994,Krzysztof Kieslowski,"$1,237,219",1942062.664,1324974,138.5064566
2907,tt0111495,Trois couleurs: Rouge,11-23-1994,Krzysztof Kieslowski,"$3,581,969",5622616.739,2562193,127.6266271
1187,tt1494798,Milosc na wybiegu,08-21-2009,Krzysztof Lang,0,0,0,0
306,tt3671676,Hardkor Disko,04-04-2014,Krzysztof Skonieczny,0,0,0,0
78,tt0083356,From a Far Country,12-20-1981,Krzysztof Zanussi,0,0,0,0
2052,tt0084123,Imperative,03-29-1985,Krzysztof Zanussi,0,0,0,0
3471,tt0119846,Our God's Brother,06-08-1997,Krzysztof Zanussi,0,0,0,0
1069,tt0103340,Zycie za zycie. Maksymilian Kolbe,12-04-2006,Krzysztof Zanussi,0,0,0,0
87,tt1210361,Serce na dloni,09-26-2008,Krzysztof Zanussi,0,0,0,0
1980,tt3997248,Obce cialo,12-05-2014,Krzysztof Zanussi,0,0,0,0
723,tt4650624,Every 21 Seconds,04-13-2018,Kuba Luczkiewicz,0,0,0,0
2104,tt1285120,John Apparao 40+,03-20-2008,Kuchipudi Venkat,0,0,0,0
2454,tt0077133,Ai yu kuang chao,01-12-1982,Kuen Yeung,0,0,0,0
1266,tt0089650,"My Mind, Your Body",01-10-1985,Kuen Yeung,0,0,0,0
1676,tt0109617,Gambling Baron,11-03-1994,Kuen Yeung,0,0,0,0
2456,tt0297156,Black Hole,03-04-2000,Kuk-hyeong Kim,0,0,0,0
786,tt1867035,Race,03-17-2011,Kukku Surendran,0,0,0,0
137,tt0111308,Suhaag,10-20-1994,Kuku Kohli,0,0,0,0
1492,tt0282275,Zulmi,04-16-1999,Kuku Kohli,0,0,0,0
2342,tt0989633,Delhii Heights,03-30-2007,Kumar Anand,0,0,0,0
258,tt2066899,Jugaad,02-13-2009,Kumar Anand,0,0,0,0
1736,tt5769518,Mullassery Madhavan Kutty Nemom P. O.,02-09-2012,Kumar Nanda,0,0,0,0
1145,tt1216300,Jannat: In Search of Heaven...,05-16-2008,Kunal Deshmukh,0,0,0,0
2937,tt1522329,Tum Mile,11-13-2009,Kunal Deshmukh,0,0,0,0
891,tt2319889,Jannat 2,05-04-2012,Kunal Deshmukh,0,0,0,0
1813,tt3483712,Raja Natwarlal,08-29-2014,Kunal Deshmukh,"$131,105",150469.2085,0,0
2327,tt0439662,Fanaa,05-26-2006,Kunal Kohli,"$2,105,352",2771695.908,0,0
3343,tt1132589,Hijack,09-05-2008,Kunal Shivdasani,0,0,0,0
2250,tt0110222,Kabhi Haan Kabhi Naa,02-25-1994,Kundan Shah,0,0,0,0
1179,tt0106417,Gekijô-ban - Bishôjo senshi Sêrâ Mûn R,02-08-2000,Kunihiko Ikuhara,"$619,902",894580.5762,0,0
4154,tt1591050,"Otoko de aishite, onna demo aishite: Nusumareta joubi",08-05-2009,Kunihiko Matsuoka,0,0,0,0
4119,tt0114965,Wo de mei li yu ai chou,08-14-1995,Kuo-Fu Chen,0,0,0,0
1623,tt0284066,Shuang tong,10-20-2002,Kuo-Fu Chen,0,0,0,0
2771,tt1434423,Feng sheng,09-22-2009,"Kuo-Fu Chen, Qunshu Gao",0,0,0,0
162,tt0457303,Church Ball,03-17-2006,Kurt Hale,"$464,991",612160.6515,0,0
3220,tt0404857,Carambola,11-11-2005,Kurt Hollander,0,0,0,0
1629,tt1920871,College Musical,09-03-2014,Kurt Hugo Schneider,0,0,0,0
3194,tt0185664,Scrapbook,01-08-1999,Kurt Kuenne,0,0,0,0
351,tt5253282,The Bachelors,10-20-2017,Kurt Voelker,0,0,0,0
3607,tt0099796,Horseplayer,01-20-1990,Kurt Voss,0,0,0,0
2805,tt0099642,Genuine Risk,11-21-1990,Kurt Voss,0,0,0,0
4511,tt0118608,Amnesia,06-07-1997,Kurt Voss,0,0,0,0
3905,tt0118696,Below Utopia,09-26-1997,Kurt Voss,0,0,0,0
496,tt12261772,S01E03,05-01-2020,Kurt Walker,0,0,0,0
294,tt0238380,Equilibrium,12-06-2002,Kurt Wimmer,"$1,203,794",1686395.015,0,0
2964,tt0370032,Ultraviolet,03-03-2006,Kurt Wimmer,"$18,535,812",24402396.5,1203794,8006.264062
488,tt9247314,Spiral,09-17-2020,Kurtis David Harder,0,0,0,0
266,tt5987042,The Devil's Well,01-23-2018,Kurtis Spieler,0,0,0,0
3467,tt0298493,Paejabuhwaljeon,02-26-1997,Kwang-hoon Lee,0,0,0,0
2604,tt0475783,Welkkeom tu Dongmakgol,08-04-2005,Kwang-Hyun Park,0,0,0,0
2887,tt9843984,2036 Apocalypse Earth,10-20-2019,Kwang-Hyun Park,0,0,0,0
3006,tt2086873,Romance Joe,03-08-2012,Kwang-kuk Lee,0,0,0,0
4710,tt0156386,Spring in My Hometown,11-21-1998,Kwang-Mo Lee,0,0,0,0
